Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
animation studio,KTKomedy2813,RT Wierdo78033920 If Buck Wild left a bad taste in your mouth then Scrat Tales washes out All six shorts are not only Scrat at his be,en,2022-04-14,"Bloomingdale, GA",[],negative,0.0,158.0,-0.1499999999999999
animation studio,animationjobs,Motion Designer job in Dicesol Animation a new Dubai based studio Visa provided to the right person Working on animation,en,2022-04-14,Global 🌍,[],positive,0.0,1.0,0.211038961038961
animation studio,AJOZKT,RT ladbible The animation studio behind the Ice Age series has shut down but not before releasing a clip showing Scrat finally getti,en,2022-04-14,"Stockport, England",[],negative,0.0,182.0,-0.1851851851851852
animation studio,asusabaa1,RT AniTrendz Koukyuu no Karasu Teaser VisualThe anime is scheduled for October 2022Animation Studio BN Pictures,en,2022-04-14,,[],neutral,0.0,31.0,0.0
animation studio,hanamirac,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,5/36,[],negative,0.0,167.0,-0.2
animation studio,xnuitamericaine,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,il paese delle meraviglie 💫,[],negative,0.0,84.0,-0.2
animation studio,ChowderGumball,RT ScratchyDerose You wanna what really hurts about this Blue Aky Studios was literally the ONLY Animation Studio in Connecticut Thats,en,2022-04-14,,[],positive,0.0,41.0,0.0666666666666666
animation studio,emryxn,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,"Edinburgh, Scotland",[],negative,0.0,73.0,-0.2
animation studio,rosefellinlove,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,İstanbul,[],negative,0.0,92.0,-0.2
animation studio,zekesbf,RT rivajiku No matter how much you talk shit about yams art no animation studio could pull off Ezekiel Yeagers level of beauty only ya,en,2022-04-14,"Glasgow, Scotland",[],neutral,0.0,8.0,0.0
animation studio,Grimm750,RT Wierdo78033920 If Buck Wild left a bad taste in your mouth then Scrat Tales washes out All six shorts are not only Scrat at his be,en,2022-04-14,"heretown population me, maybe",[],negative,0.0,180.0,-0.1499999999999999
animation studio,brun_acker,RT rivajiku No matter how much you talk shit about yams art no animation studio could pull off Ezekiel Yeagers level of beauty only ya,en,2022-04-14,- 17 - ,[],neutral,0.0,6.0,0.0
animation studio,esplosibos,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,Cargados Carajos Shoals,[],negative,0.0,85.0,-0.2
animation studio,julezxcx,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,,[],negative,0.0,167.0,-0.2
animation studio,GraayArea,RT CarlosZaragoza Here the panoramic mural I did for SonyAnimation The whole studios history in one single still frame Thanks Sony,en,2022-04-14,,[],positive,0.0,101.0,0.1095238095238095
animation studio,AnimationVFXJob,SPIN VFX Studio is hiring fulltime Lighter 3dcgi maya animation fulltime 2d canada lighting nuke,en,2022-04-14,,"['VFX', '3dcgi', 'maya', 'animation', 'fulltime', '2d', 'canada', 'lighting', 'nuke']",neutral,0.0,0.0,0.0
animation studio,hgarner95,RT ladbible The animation studio behind the Ice Age series has shut down but not before releasing a clip showing Scrat finally getti,en,2022-04-14,,[],negative,0.0,58.0,-0.1851851851851852
animation studio,AniTrendz,Koukyuu no Karasu Teaser VisualThe anime is scheduled for October 2022Animation Studio BN Pictures,en,2022-04-14,United States,[],neutral,76.0,15.0,0.0
animation studio,_HarryPadda,RT ladbible The animation studio behind the Ice Age series has shut down but not before releasing a clip showing Scrat finally getti,en,2022-04-14,,[],negative,0.0,172.0,-0.1851851851851852
animation studio,CVikitori,RT Wierdo78033920 If Buck Wild left a bad taste in your mouth then Scrat Tales washes out All six shorts are not only Scrat at his be,en,2022-04-14,-_ᴜɴɪᴠᴇʀsᴏ 00000000000001-_,[],negative,0.0,180.0,-0.1499999999999999
animation studio,falcast00,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,,[],negative,0.0,85.0,-0.2
animation studio,pamgugyu,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,,[],negative,0.0,90.0,-0.2
animation studio,Chudesnov,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,Hlavní město Praha,[],negative,0.0,92.0,-0.2
animation studio,televisualmedia,Cofounder of Amazing Maurice animation studio Red Star Jan Rogowski has died aged 41skytvAnimationUKUKScreenAlln,en,2022-04-14,London,[],positive,0.0,0.0,0.1666666666666667
animation studio,tbxrrie,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,dfw,[],negative,0.0,92.0,-0.2
animation studio,Gamemaster13000,RT ScratchyDerose You wanna what really hurts about this Blue Aky Studios was literally the ONLY Animation Studio in Connecticut Thats,en,2022-04-14,(What's left of)Yagyu Village,[],positive,0.0,27.0,0.0666666666666666
animation studio,gun_mac,RT Aliab1385 asysoyvy Icetimeguard DiscussingFilm No actually disney was keeping bluesky as their third studio with advertising and le,en,2022-04-14,Under your bed,[],neutral,0.0,15.0,0.0
animation studio,hanamirac,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,5/36,[],negative,0.0,178.0,-0.2
animation studio,whythisfilmpod,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,Suffolk,[],negative,0.0,202.0,-0.2
animation studio,David56505288,RT AniTrendz Koukyuu no Karasu Teaser VisualThe anime is scheduled for October 2022Animation Studio BN Pictures,en,2022-04-14,,[],neutral,0.0,31.0,0.0
animation studio,KateLabellarte,RT letterboxd Animation studio blueskystudios the team behind the Ice Age franchise say farewell with Scrat finally getting his acorn,en,2022-04-14,,[],negative,0.0,219.0,-0.2
animation studio,itssannalisa,RT Wierdo78033920 If Buck Wild left a bad taste in your mouth then Scrat Tales washes out All six shorts are not only Scrat at his be,en,2022-04-14,19 || She/they,[],negative,0.0,164.0,-0.1499999999999999
