Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
anime romance,A_boss78,60hzSwix ChibiReviews Love after World domination is a very cute super hero romance anime wth comedy,en,2022-04-15,,[],positive,0.0,0.0,0.4944444444444444
anime romance,embermaker,RT WAIFUWATCHERS struggles of being an average romance anime enjoyer anitwt mydressupdarling,en,2022-04-15,,"['anitwt', 'mydressupdarling']",negative,0.0,66.0,-0.15
anime romance,sleepinsicarii,RT WAIFUWATCHERS struggles of being an average romance anime enjoyer anitwt mydressupdarling,en,2022-04-15,"Houston, TX","['anitwt', 'mydressupdarling']",negative,0.0,66.0,-0.15
anime romance,Suugoii__,Starter Romance recommendations AnimeMangaIn no orderMaid SamaWolf Girl and Black PrinceSay I Love YouKimi ni Todoke,en,2022-04-15,,[],positive,0.0,0.0,0.16666666666666669
anime romance,mezzo4te,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,,[],neutral,0.0,79.0,0.0
anime romance,Alexreaper2000,811Haven Shit omw its been awhile since I watched a good romance anime 6 feet apart tho you never know with COVID and delta,en,2022-04-15,"Midland, TX",[],positive,0.0,0.0,0.2499999999999999
anime romance,ilysanlang,im so happy to see more shoujo anime releases shounen is cool and all but some of us wanna see more romance,en,2022-04-15,she / her,[],positive,0.0,0.0,0.6078125
anime romance,grxpesareyum,HIII GO WATCH KUZU NO HONKAI RIGHT NOW ITS PROBABLY THE BEST ROMANCE ANIME OUT THERE,en,2022-04-15,,[],positive,0.0,0.0,0.6428571428571428
anime romance,Irina_the_Great,Sasaki and Miyano Episode 5 Funny Face Mechanical Anime Reviews bl comedy romance,en,2022-04-15,Canada,"['bl', 'comedy', 'romance']",positive,1.0,0.0,0.25
anime romance,jian9s,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,Yharnam. she/her/him. ,[],neutral,0.0,79.0,0.0
anime romance,None72448891,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,,[],neutral,0.0,88.0,0.0
anime romance,Tahllinavian_20,nichegamer Spy x Family read it all yesterday and now Im caught up Amazing manga the anime is gonna blow up Its a very refreshing series with action romance heart touching and surprisingly deep moments with comments on war and death It has a little bit of everything for everyone,en,2022-04-15,,[],positive,1.0,0.0,0.2770833333333333
anime romance,ClariEleven,RT kagenoir I was not expecting Kibun Joujou to be an anime ending theme in 2022 wild The premise is also hilarious Zhuge Liang gets,en,2022-04-15,,[],positive,0.0,1.0,0.3
anime romance,mmncreamz,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,สิงหลายด้อมมากนะคะ แงง ;w;,[],neutral,0.0,79.0,0.0
anime romance,animefess_,saran anime romance yang happy ending anf,en,2022-04-15,BACA RULES! :,[],positive,2.0,0.0,0.8
anime romance,Angie_inmortal,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,piso de la muerte ,[],neutral,0.0,79.0,0.0
anime romance,Cvrloss_99,Watching romance anime movies just reminds me of why I love who I am,en,2022-04-15,,[],positive,0.0,0.0,0.5
anime romance,antisaraaa,i havent seen a good romance anime in a while,en,2022-04-15,hell,[],positive,0.0,0.0,0.7
anime romance,Angie_inmortal,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,piso de la muerte ,[],neutral,0.0,88.0,0.0
anime romance,Tiramissuuuuuuu,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,Iwatobi,[],neutral,0.0,79.0,0.0
anime romance,F14Fernando,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,,[],neutral,0.0,82.0,0.0
anime romance,sunny_fangs,jacimp3 horimiya why was my first instinct to say your lie in april also not a romance anime but Yuri on Ice has has romance elements and is so damn heartwarming,en,2022-04-15,,[],positive,0.0,0.0,0.25
anime romance,i_am_Zeref6996,BasedLIDA Best romance anime of this season imo,en,2022-04-15,He/Him ,[],positive,1.0,0.0,1.0
anime romance,xhnrtiz,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,爱娜娜,[],neutral,0.0,88.0,0.0
anime romance,CEOofKlein,AzazelDrag SolosDxD In line with 2nd point this isnt a shounen animestory Itd be different if it was such as MHA or DB This is a scifi drama about a boy who must learn to allow people into his life amp allow himself to form connectionsfriendships w said people a dash of romance,en,2022-04-15,,[],neutral,5.0,0.0,0.0
anime romance,Tiramissuuuuuuu,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,Iwatobi,[],neutral,0.0,84.0,0.0
anime romance,thewoswifey,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,,[],neutral,0.0,80.0,0.0
anime romance,None72448891,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,,[],neutral,0.0,83.0,0.0
anime romance,F14Fernando,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,,[],neutral,0.0,83.0,0.0
anime romance,shimiya_san,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,на грани иных миров. ,[],neutral,0.0,80.0,0.0
anime romance,jgoo_,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,kaeya supremacy ❄️,[],neutral,0.0,88.0,0.0
anime romance,shimiya_san,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,на грани иных миров. ,[],neutral,0.0,84.0,0.0
anime romance,mmncreamz,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,สิงหลายด้อมมากนะคะ แงง ;w;,[],neutral,0.0,78.0,0.0
anime romance,stariapeach,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,Canberra,[],neutral,0.0,88.0,0.0
anime romance,Republik_Anime,Anime Romance Comedy ASKANIME,en,2022-04-15,Di depan Laptop :D,['ASKANIME'],neutral,0.0,0.0,0.0
anime romance,shimiya_san,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,на грани иных миров. ,[],neutral,0.0,88.0,0.0
anime romance,gwacebawona,Jokes on me thinking that Summertime Render was a sportromance anime wth was that 1st ep,en,2022-04-15,Lotus Pier,[],neutral,0.0,0.0,0.0
anime romance,eeemdee_,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,,[],neutral,0.0,79.0,0.0
anime romance,Angie_inmortal,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,piso de la muerte ,[],neutral,0.0,78.0,0.0
anime romance,MrGiIgamesh,BiggsL5T You watch girly romance anime,en,2022-04-15,"New York, USA",[],neutral,0.0,0.0,0.0
anime romance,marisawithones_,Hithere20211 I hate that thanks to Usagi Drop and other trash romance anime I now have to consider the possibility of a grown man romancing his nonbiological child or high schooler,en,2022-04-15,California,[],negative,0.0,0.0,-0.14125
anime romance,shimiya_san,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,на грани иных миров. ,[],neutral,0.0,85.0,0.0
anime romance,EleeJoseph,10 anime movies horror romance,en,2022-04-15,,[],neutral,0.0,0.0,0.0
anime romance,izumuniounomiya,mara googling an ign romance guide to get a blond european womengif or anime girl typing on laptop,en,2022-04-15,,[],neutral,0.0,0.0,0.0
anime romance,dolcelty,chuuschwe my little monster is a romance anime lt3,en,2022-04-15,solo stan ✿ she her • byf →→ ,[],negative,1.0,0.0,-0.1875
anime romance,mongkankrai,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,ในหัวใจของ @Akumanodaiji,[],neutral,0.0,88.0,0.0
anime romance,Tiramissuuuuuuu,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,Iwatobi,[],neutral,0.0,82.0,0.0
anime romance,shimiya_san,RT hunieday this entire MV plays out like a romance anime opening YOU CANT EVEN MAKE THIS UP thank you banri for giving us canon momoyuk,en,2022-04-15,на грани иных миров. ,[],neutral,0.0,83.0,0.0
